MAKE,MODEL,COLOR,YEAR,ODOMETER,STATE,SELLER,UNITS_SOLD,TOTAL_REVENUE,AVG_PRICE
BMW,6 Series,black,2012,18521,ca,financial services remarketing (lease),2,91500,45750
Ford,Mustang,silver,2012,98751,sc,andrew thomas motorcars,2,31800,15900
Ford,E-Series Van,white,2014,10129,pa,u-haul,2,42800,21400
Dodge,Durango,gray,2011,54456,tx,music city autoplex llc,2,36500,18250
Dodge,Charger,gray,2014,23502,va,hertz corporation/gdp,2,34600,17300
Ford,Mustang,red,2009,98242,ca,tdaf remarketing,2,13500,6750
Land Rover,Range Rover,black,2010,63736,pa,r hollenshead auto sales inc,2,69200,34600
Nissan,Maxima,white,2012,51223,ca,nissan-infiniti lt,2,33000,16500
Nissan,Altima,white,2013,24000,ca,nissan-infiniti lt,2,28500,14250
Infiniti,G Sedan,black,2012,31995,fl,nissan infiniti lt,2,33000,16500
Chevrolet,Malibu,beige,2009,65463,fl,courtesy kia of brandon,2,11600,5800
Lincoln,MKZ,black,2012,38056,mi,ford motor credit company llc,1,12000,12000
GMC,Yukon XL,charcoal,2003,128469,ca,cig financial,1,3800,3800
Nissan,Sentra,silver,2013,18820,wa,nissan motor acceptance corporation,1,14000,14000
Nissan,Altima,Ã¢â‚¬â€,2012,105804,tn,santander consumer,1,8500,8500
Toyota,Camry,white,2012,44241,ca,dtg operations inc,1,14000,14000
Toyota,Camry,white,2013,41122,fl,avis corporation,1,13500,13500
Pontiac,G6,black,2007,80504,nv,remarketing by ge/manheim nevada,1,4400,4400
BMW,3 Series,black,2011,26000,nv,financial services remarketing - pickup,1,19250,19250
BMW,3 Series,black,2011,23955,oh,financial services remarketing (lease),1,24000,24000
Toyota,4Runner,silver,2005,102433,ne,mercedes benz of omaha,1,10000,10000
Toyota,Sienna,green,2012,33503,pa,kentland car co inc,1,18800,18800
Ford,Escape,silver,2014,17633,il,ford motor credit company,1,17200,17200
Chrysler,Town and Country,white,2014,16212,ca,enterprise vehicle exchange / tra / rental / tulsa,1,9400,9400
Volkswagen,Jetta,Ã¢â‚¬â€,2013,20762,fl,vw credit,1,11600,11600
Ford,Econoline Cargo,blue,2005,144820,pa,ari,1,3500,3500
Nissan,Altima,black,2012,43475,il,nissan-infiniti lt,1,12600,12600
Dodge,Challenger,orange,2013,38110,pa,the hertz corporation,1,23000,23000
Honda,Civic,gray,2013,17321,fl,hertz/tra,1,7400,7400
Chrysler,200,black,2012,42150,pa,prestige financial services,1,10500,10500
Ford,Escape,black,2012,18853,mn,ford motor credit company llc,1,16500,16500
Honda,Civic,gray,2012,29931,il,ahfc/honda lease trust/hvt  inc. eot,1,11800,11800
Pontiac,G6,silver,2007,36516,fl,orlando kia north,1,8100,8100
Kia,Rio,red,2014,10366,ca,santander consumer,1,12100,12100
Chevrolet,Aveo,white,2011,74722,az,onesource/southwest remarketing,1,6300,6300
Porsche,Cayenne,silver,2008,68057,co,meridian remarketing,1,14300,14300
Honda,Civic,blue,2013,30677,nv,ahfc/honda lease trust/hvt  inc.,1,12700,12700
Infiniti,G35,red,2007,64282,oh,lexus rivercenter,1,12400,12400
Lexus,GS 350,gray,2007,56469,pa,r hollenshead auto sales inc,1,15600,15600
Jeep,Patriot,silver,2011,39496,ne,millers auto sales,1,13300,13300
Nissan,Altima,Ã¢â‚¬â€,2011,71066,tx,exeter finance corp,1,9100,9100
Ford,Edge,black,2011,125125,ca,wholesale motor sales inc,1,10400,10400
Ford,F-150,blue,2001,156645,nc,fleet lease remarketing,1,4500,4500
Mercedes-Benz,E-Class,white,2010,62251,ga,carworks inc,1,23000,23000
Kia,Optima,gray,2008,72243,oh,santander consumer,1,5600,5600
Chevrolet,Sonic,red,2013,56327,ga,the hertz corporation,1,8800,8800
Ford,Fusion,blue,2011,87708,fl,publix supermarkets,1,8900,8900
Kia,Sorento,black,2014,25086,fl,kia motors finance,1,8400,8400
Nissan,Altima,gray,2011,23953,ca,exeter finance corp,1,9100,9100
Jaguar,XJ,burgundy,2011,32486,nv,team ford lincoln,1,34000,34000
Jaguar,XF,black,2011,34720,pa,carriage traders,1,22500,22500
Toyota,Venza,white,2012,25152,pa,pohanka lexus,1,21300,21300
BMW,3 Series,Ã¢â‚¬â€,2009,39699,pa,r hollenshead auto sales inc,1,20100,20100
Toyota,Corolla,black,2005,160345,fl,arg inc,1,4800,4800
Nissan,Maxima,black,2012,40492,pa,nissan-infiniti lt,1,18200,18200
Mercedes-Benz,CLK-Class,white,2004,88335,fl,crown hyundai,1,8000,8000
Infiniti,G Sedan,gray,2011,45739,ga,nissan infiniti lt,1,18800,18800
Dodge,Charger,white,2011,42249,nc,santander consumer,1,14500,14500
Nissan,Altima,black,2012,35122,nj,nissan-infiniti lt,1,10600,10600
Audi,Q5,black,2012,54256,pa,r hollenshead auto sales inc,1,21500,21500
Ford,Explorer,white,2012,41845,oh,ford motor credit company llc,1,20900,20900
Nissan,Altima,blue,2012,42348,pa,nissan-infiniti lt,1,11900,11900
Toyota,Camry,white,2012,33608,oh,toyota financial services,1,15000,15000
Acura,TSX,black,2011,29440,ga,remarketing by ge/nextgear capital,1,16000,16000
Dodge,Grand Caravan,black,2014,11915,pa,enterprise holdings/gdp,1,19100,19100
Nissan,Titan,black,2005,127343,tx,wells fargo dealer services,1,7600,7600
Dodge,Grand Caravan,silver,2014,31079,pa,hertz corporation/gdp,1,15700,15700
Ford,Focus,gray,2003,153563,nv,automotive remarketing inc,1,1050,1050
Ford,E-Series Van,white,2014,25619,pa,ars/enterprise,1,19000,19000
Kia,Forte,blue,2014,36324,tn,avis corporation,1,11700,11700
Nissan,Altima,white,2013,49491,md,the hertz corporation,1,12100,12100
Nissan,Pathfinder,gray,2013,31818,fl,nissan north america inc.,1,22000,22000
Toyota,Corolla,white,2013,44386,oh,byers car rentals llc,1,12200,12200
Chevrolet,Express Cargo,white,2012,134936,fl,enterprise vehicle exchange / tra / rental / tulsa,1,9700,9700
Honda,Civic,gray,2012,47054,il,ahfc/honda lease trust/hvt  inc.,1,10100,10100
Infiniti,M,gray,2012,42979,il,nissan infiniti lt,1,23400,23400
Honda,Accord,gray,2009,69348,il,ahfc/honda lease trust/hvt  inc.,1,10400,10400
Acura,TL,silver,2012,44284,il,ahfc/honda lease/trust/hvt  inc. eot acuras,1,19300,19300
Ford,Escape,red,2012,35702,fl,suntrust bank,1,16400,16400
Ford,Five Hundred,green,2006,116855,fl,orlando kia east,1,4700,4700
Ford,Expedition,gray,2005,188712,oh,loe's auto sales,1,1600,1600
Hyundai,Elantra,white,2003,69415,md,darcars ford,1,1800,1800
Honda,Accord,blue,2002,165627,va,brown's dulles nissan,1,2050,2050
Jeep,Cherokee,black,2001,87907,pa,levittown ford llc,1,4200,4200
,,red,2000,147750,md,sheehy nissan,1,850,850
Chevrolet,Impala,white,2013,73402,nj,wheels exchange llc,1,8800,8800
Mitsubishi,Galant,white,2007,52190,ca,wells fargo dealer services,1,6800,6800
Ford,Explorer,silver,2013,66160,nc,fleet lease remarketing,1,20000,20000
Dodge,Ram Pickup 1500,silver,2008,72491,oh,dt inventory,1,10500,10500
Chevrolet,Silverado 2500HD,white,2006,86273,ca,donlen corporation,1,12700,12700
Acura,RSX,silver,2004,131343,nc,atlantic coast remarketing inc/tasi,1,5900,5900
Dodge,Durango,white,2003,91235,az,camelback finance co,1,3000,3000
Honda,CR-V,beige,2003,125823,sc,hendrick honda of charleston,1,3900,3900
Acura,RDX,gray,2015,6,pa,american honda motor company,1,33700,33700
,,gray,2007,113511,ca,aaero sweet company,1,17250,17250
Kia,Forte,brown,2014,35003,ca,avis rac/san leandro,1,11500,11500
Chevrolet,Cruze,red,2013,39225,wa,avis corporation,1,11700,11700
Mazda,Mazda3,silver,2011,62059,ma,imperial chrysler dodge jeep corp,1,8500,8500
Toyota,Sienna,red,2014,34441,mo,c & j rental,1,16800,16800
Honda,CR-V,black,2007,75297,va,consumer portfolio services,1,9500,9500
Ford,Fusion,red,2015,8878,wi,enterprise vehicle exchange / tra / rental / tulsa,1,11600,11600
Dodge,Ram Pickup 1500,orange,2005,184995,ab,duke industries,1,6500,6500
Hyundai,Accent,white,2014,21952,tx,hyundai motor america,1,11200,11200
Ford,F-150,white,2007,184532,nc,dt inventory,1,2100,2100
Chevrolet,Sonic,silver,2013,35225,pa,enterprise veh exchange/rental,1,10200,10200
Nissan,Leaf,red,2011,14382,wa,nissan-infiniti lt,1,10900,10900
Nissan,Murano,red,2011,42048,oh,nissan-infiniti lt,1,16500,16500
Ford,Expedition,white,2006,96696,fl,jm lexus,1,8500,8500
Ford,Transit Connect,white,2010,106998,nc,fleet lease remarketing,1,8800,8800
Jeep,Wrangler,gray,2014,13169,fl,chrysler group llc,1,25600,25600
Lexus,IS 250 C,charcoal,2012,40981,fl,lexus financial services,1,26500,26500
Toyota,RAV4,black,2011,33495,pa,tdaf remarketing,1,15800,15800
Buick,Encore,red,2014,10286,ga,ford-lincoln dealer program,1,21500,21500
Nissan,Versa,black,2011,68074,fl,achieva credit union,1,5700,5700
Ford,Fusion,red,2014,38437,tn,ars/avis budget group,1,14600,14600
Mercury,Milan,white,2008,87308,va,lenders assistance corporation,1,5700,5700
Chevrolet,Traverse,blue,2010,82273,pa,ayers chevrolet inc,1,12600,12600
Lincoln,MKX,Ã¢â‚¬â€,2014,15620,tn,ford-lincoln dealer program,1,36400,36400
Chrysler,Town and Country,white,2014,34338,tn,avis corporation,1,19100,19100
Saturn,VUE,silver,2002,156469,va,voyage auto sales inc,1,650,650
Toyota,RAV4,gray,2006,122840,nc,crossroads ford inc,1,6700,6700
Mercedes-Benz,C-Class,white,2011,31918,nj,bmw alphera/alphera financial services,1,15800,15800
Dodge,Avenger,black,2010,81642,mo,fiserv/security national automotive accept corp,1,5600,5600
Cadillac,CTS,black,2008,131961,tx,assets recovered,1,4500,4500
Jeep,Compass,red,2007,108115,ga,klassic cars,1,4800,4800
Audi,A4,black,2006,138736,fl,westlake financial services,1,3500,3500
Ford,Escape,silver,2013,42553,pa,ford motor credit company llc,1,15800,15800
Jeep,Wrangler,white,2012,12777,pa,brookside motors llc,1,29500,29500
Dodge,Grand Caravan,gray,2011,87929,pa,lease plan usa,1,7700,7700
Honda,Civic,black,2008,80504,fl,westlake financial services,1,4400,4400
Dodge,Grand Caravan,green,2006,44080,md,darcars imports inc,1,6900,6900
Chevrolet,Cruze,white,2013,62438,nj,the hertz corporation,1,9300,9300
Chevrolet,Malibu,brown,2012,69676,nc,dtg operations inc,1,9000,9000
Ford,Focus,white,2012,105490,ga,lease plan usa,1,6800,6800
Ford,Fusion,silver,2011,94586,fl,wheels exchange llc,1,6900,6900
Chrysler,Sebring,silver,2010,89315,md,autonation chevrolet security blvd,1,2900,2900
Chevrolet,Impala,gray,2010,69631,tx,laredo dodge chrysler jeep,1,7600,7600
Lexus,IS 250,black,2009,61162,nv,lexus of las vegas,1,16300,16300
Ford,Focus,white,2008,90679,nv,amigo auto sales,1,5600,5600
Dodge,Grand Caravan,red,2014,13145,pa,enterprise holdings/gdp,1,17400,17400
Ford,Expedition,blue,2014,33063,ga,avis budget group,1,31000,31000
Ford,F-150,black,2014,12813,pa,usautoland inc,1,35250,35250
Ford,Focus,,2013,19198,mo,ford motor credit company llc pd,1,10000,10000
Infiniti,G Sedan,white,2013,25292,mo,nissan infiniti lt,1,20800,20800
Lexus,ES 350,gray,2013,31979,pa,northtown lexus,1,26750,26750
Hyundai,Elantra,red,2012,88539,ca,first investors servicing corp,1,9900,9900
Honda,Civic,blue,2012,35491,il,ahfc/honda lease trust/hvt  inc. eot,1,11100,11100
Nissan,Altima,beige,2007,119398,va,consumer portfolio services,1,3700,3700
Ford,F-350 Super Duty,blue,2006,108827,tx,motorcars of south texas,1,13700,13700
landrover,range,black,2006,61330,ca,high bid trading co inc,1,17750,17750
Chevrolet,Traverse,gray,2014,11336,nv,las vegas auto sports,1,25500,25500
Volvo,S60,silver,2013,19484,pa,manheim imports,1,23000,23000
Audi,A5,white,2013,17345,fl,vw credit xu ready,1,31200,31200
Mazda,CX-9,black,2011,42479,pa,jpmorgan chase bank n.a.,1,16300,16300
Nissan,Murano,orange,2003,140631,ga,toyota of greenville,1,3900,3900
Toyota,Sienna,white,2011,53508,nv,unique autos,1,17000,17000
Cadillac,CTS,beige,2007,136524,nc,gm financial,1,1600,1600
Ford,Fusion,gold,2006,98715,nc,dt credit corporation,1,5300,5300
Mercedes-Benz,M-Class,silver,2009,61464,ca,jaguar land rover north scottsdale,1,19000,19000
Dodge,Ram Pickup 1500,white,2008,95231,nv,unique autos,1,13500,13500
Toyota,Corolla,gold,2006,66914,nc,santander consumer,1,6900,6900
Ford,Econoline Cargo,blue,2005,304126,ga,rhode auto sales,1,2300,2300
Ford,Explorer,black,2015,14449,ga,ars/enterprise,1,31600,31600
Ford,Escape,gray,2013,30973,mi,ford motor credit company llc,1,18600,18600
Ford,Explorer,white,2013,23047,tn,ford motor credit company llc,1,24500,24500
Infiniti,G Sedan,black,2013,7789,wa,nissan infiniti lt,1,22750,22750
Volkswagen,Passat,blue,2013,61562,ca,the hertz corporation,1,11400,11400
Nissan,Leaf,Ã¢â‚¬â€,2012,23684,wa,nissan-infiniti lt,1,11400,11400
BMW,5 Series,black,2011,27085,wa,financial services remarketing (lease),1,31250,31250
Chevrolet,Malibu,silver,2011,114841,nc,dt credit corporation,1,5900,5900
Chevrolet,Colorado,white,2009,89929,ny,ari,1,5000,5000
Saturn,S-Series,green,1997,234758,tx,titlemax/san antonio-tx8,1,300,300
Acura,TL,white,2013,28810,il,american honda motor company (buybacks),1,22000,22000
Honda,Accord,silver,2012,26639,pa,ahfc/honda lease trust/hvt  inc. eot,1,14600,14600
Honda,CR-V,silver,2012,13205,pa,ahfc/honda lease trust/hvt  inc. eot,1,20000,20000
Chevrolet,Equinox,black,2014,16813,pa,us bank,1,16400,16400
Dodge,Durango,black,2012,40358,mo,meridian remarketing,1,23500,23500
Ford,Escape,black,2011,108366,mn,wheels ltd,1,8900,8900
Lexus,IS 350,red,2011,35292,oh,lexus financial services,1,22400,22400
Chevrolet,Avalanche,blue,2010,61889,pa,adcock brothers inc,1,27500,27500
Nissan,Frontier,gray,2010,138718,ma,nissan 24,1,9600,9600
Chevrolet,Impala,silver,2009,97408,nv,elite acceptance corp,1,5250,5250
Dodge,Caliber,gold,2008,96682,ca,m & n financial,1,2650,2650
Chrysler,300,gray,2014,21779,pa,hertz corporation/gdp,1,18500,18500
BMW,X3,red,2007,94299,tx,dt inventory,1,8500,8500
Nissan,Murano,gold,2006,143897,tx,santander consumer,1,2800,2800
Pontiac,Grand Prix,gold,2003,211803,va,select remarketing group llc/anderson financial,1,350,350
Jeep,Grand Cherokee,black,2014,22559,pa,hertz corporation/gdp,1,27900,27900
Audi,A4,silver,2013,30616,ca,silver car,1,23750,23750
Lexus,RX 450h,black,2013,52072,fl,onesource/kendall toyota,1,31200,31200
Acura,MDX,black,2012,38752,pa,r hollenshead auto sales inc,1,27400,27400
Chevrolet,Cruze,red,2014,22535,fl,gm remarketing,1,14000,14000
Ford,Transit Connect,white,2012,56255,ca,ford motor credit company llc,1,12600,12600
Chevrolet,Equinox,black,2011,95649,nj,wheels exchange llc,1,10200,10200
BMW,3 Series,black,2012,67829,oh,financial services remarketing (lease),1,22400,22400
Nissan,Altima,black,2006,113058,nc,crossroads ford of kernersville inc,1,5200,5200
Honda,Odyssey,silver,2006,57572,tx,don davis nissan inc,1,11000,11000
Dodge,Durango,blue,2005,172403,nv,quality acceptance,1,3200,3200
Subaru,B9 Tribeca,black,2006,132955,nj,j & s auto haus,1,5750,5750
Chevrolet,Malibu,blue,2013,56193,nv,fox rent a car,1,12000,12000
Toyota,Camry,white,2012,93827,ca,phillips auto brokerage,1,12300,12300
Chevrolet,Camaro,white,2013,39470,tn,wholesale inc # 2,1,18500,18500
Audi,A4,black,2008,120214,pa,ryan mtrs of morristown inc,1,6100,6100
Ford,Escape,Ã¢â‚¬â€,2013,12883,ga,ford motor credit company llc pd,1,14400,14400
Scion,tC,white,2012,17272,pa,sports car leasing,1,13900,13900
Subaru,Outback,burgundy,2011,96525,sc,pee dee auto buyers,1,13600,13600
Ford,F-150,white,2011,32031,tn,ford motor credit company llc,1,27000,27000
Honda,Civic,brown,2013,15250,nv,ahfc/honda lease trust/hvt  inc.,1,12300,12300
Dodge,Ram Pickup 1500,gray,2005,124969,wa,steve and sons auto sales llc,1,10800,10800
Infiniti,G Sedan,blue,2011,19758,wa,nissan infiniti lt,1,22500,22500
GMC,Acadia,silver,2010,99583,ne,woodhouse ford inc,1,14100,14100
Acura,RDX,white,2008,81576,fl,crown hyundai,1,10000,10000
Cadillac,DTS,off-white,2006,101648,ma,capital one auto finance,1,3000,3000
Porsche,Cayenne,burgundy,2006,121706,fl,david j leahy jr,1,10900,10900
Ford,F-150,red,2004,114958,ne,eckley auto brokers inc,1,9100,9100
Mercedes-Benz,S-Class,silver,2004,168948,ga,peoples credit company inc,1,3200,3200
Ford,F-150,white,2014,11582,or,u-haul,1,17900,17900
Acura,MDX,black,2014,4073,pa,ahfc/honda lease trust/hvt  inc acuras,1,41100,41100
Jeep,Grand Cherokee,gray,2012,53895,nc,fiserv/usb dealer services northstar exchange,1,20800,20800
Nissan,Altima,white,2012,36446,wa,nissan-infiniti lt,1,12100,12100
Ford,F-150,green,2007,130261,fl,westlake financial services,1,6300,6300
Dodge,Journey,black,2014,31256,on,chrysler canada inc,1,19600,19600
Hyundai,Sonata,gray,2013,56369,il,avis corporation,1,11100,11100
Toyota,Corolla,blue,2013,50654,fl,bmw alphera/alphera financial services,1,10800,10800
Nissan,Xterra,silver,2014,12617,fl,grieco nissan,1,18800,18800
